id,first_author,year,title,em_category_code,em_category,ai_category_code,ai_category,ai_technique,is_review,core_claim,results,limitations,source_file
115,Montaser,2023,Machine Learning Based Design of Pattern Reconfigurable Antenna,F1,Antennas and antenna arrays,1,Neural networks and deep learning,DNN (5-layer) with hyperparameters tuned by hybrid PSO-MGSA optimization,False,"The author uses ML (a five-layer DNN model) trained on a simulated database of 180 antennas to compute the resonant frequency of a reconfigurable antenna (RHBD) for 5G applications in the 26–29.5 GHz band, with the architecture and hyperparameters tuned by hybrid PSO-MGSA optimization.","The ML model was verified on a fabricated antenna operating at 27.5 GHz (trained on 162, tested on 18 samples from a database of 180 antennas); switching PIN diodes allows the radiation pattern beamwidth to be varied from 10.7° to 156.2°.",Not stated explicitly: the authors do not give specific limitations of the model; the training database is relatively small (180 samples) and specific to the given antenna topology.,old/137 - Machine Learning Based Design of Pattern Reconfigurable Antenna.pdf
149,Rozhnovskiy et al.,2023,Application of Machine Learning Method in Massive MIMO Antenna Technologies,F1,Antennas and antenna arrays,4,Reinforcement learning,Q-learning (reinforcement learning) by an intelligent agent,False,"The authors propose the use of reinforcement learning (Q-learning) by an intelligent agent to control the radiation pattern of a massive MIMO antenna with beamforming, based on prediction of user movement within a 5G/6G network cell.","This is a concept/design paper without experimental numerical results; the authors describe a theoretical Q-learning framework (Q-function, states, actions, rewards) for modeling agent behavior in a cellular environment, but do not report specific quantitative simulation results.",Not stated explicitly: the work is a purely conceptual/theoretical proposal without implementation or simulation validation of the proposed approach.,old/168 - APPLICATION OF MACHINE LEARNING METHOD IN MASSIVE MIMO ANTENNA.pdf
142,Sarkar et al.,2023,Machine Learning Assisted Hybrid Electromagnetic Modeling Framework and Its Applications to UWB MIMO Antennas,F1,Antennas and antenna arrays,2,Classical machine learning,"Multivariate Relevance Vector Regression (MVRVR) hybrid model; compared with SVR, GPR, ANN",False,"The authors propose a hybrid ML framework based on multivariate relevance vector regression (MVRVR), which solves both the forward and inverse EM problem simultaneously with a single model for UWB MIMO antenna design.","The HMVRVR model achieved a prediction accuracy (PE) of 94.32% for the two-element MIMO antenna and 98.93% for the four-element MIMO antenna, exceeding the results of SVR (63.98%), GPR (81.56%), and ANN (77.77%) in the two-element example.","The hybrid framework requires more computation time than separate forward and inverse models, due to the larger number of training samples and modeling parameters.",old/161 - Machine Learning Assisted Hybrid Electromagnetic Modeling Framework and Its Applications to UWB MIMO Antennas.pdf
319,Sarker et al.,2023,"Applications of Machine Learning and Deep Learning in Antenna Design, Optimization, and Selection: A Review",F1,Antennas and antenna arrays,1,Neural networks and deep learning,"Review of ANN/DNN/CNN/RL/SVM/GPR approaches for antenna design, optimization, and selection",True,"This review article maps applications of machine learning and deep learning in the design, optimization, and selection of antennas for wireless communications, including surrogate and RL approaches.","Not stated explicitly: the article gives only a qualitative conclusion that ML/DL improves antenna behavior prediction, reduces the number of required simulations, and speeds up the design process, without aggregated numerical metrics.",Not stated explicitly: the authors point to a lack of standardized antenna datasets and to the role of designer intuition in choosing network architecture and hyperparameters.,"old/42 - Applications of Machine Learning and Deep Learning in Antenna Design, Optimization, and Selection.pdf"
146,Singh et al.,2023,Machine Learning Approach in Optimal Localization of Tumor Using a Novel SIW-Based Antenna for Improvement of Ablation Zone in Hepatocellular Carcinoma,F1,Antennas and antenna arrays,2,Classical machine learning,"CatBoost, XGBoost, SVR, polynomial regression",False,"The authors propose an SIW antenna for microwave ablation of liver carcinoma and use ML algorithms to predict the ablation percentage based on probe position and tumor size, for optimal applicator placement.","The antenna achieved a maximum ablation diameter of 32 mm (transverse) and 25 mm (axial) at 20 W for 10 minutes; the CatBoost algorithm provided the best prediction (high R², low RMSE) compared to polynomial regression, SVR, and XGBoost.",The study is based solely on an FEM model without in-vitro validation; the model does not account for protein denaturation or deformation of liver tissue and the tumor during heating.,old/165 - Machine Learning Approach in Optimal Localization of Tumor Using a Novel SIW-Based Antenna for Improvement of Ablation Zone in Hepatocellular Carcinoma.pdf
144,Al-Bawri et al.,2024,Machine learning technique based highly efficient slotted 4-port MIMO antenna using decoupling structure for sub-THz and THz 6G band applications,F1,Antennas and antenna arrays,2,Classical machine learning,"Random Forest Regression and other regression ML models (evaluated via R², MSE, MAE, RMSE)",False,"The authors propose a 4-port MIMO antenna on a polyimide substrate for sub-THz/THz 6G bands and use ML models to predict performance parameters (gain, efficiency) based on simulation data.","The antenna achieves a maximum gain of 15 dB, isolation >31 dB, efficiency of 97.40%, ECC<0.0012 at DG>9.99, and bandwidth of 85.71%; of five ML models, random forest regression (RFR) achieved the smallest error, with gain prediction accuracy >95% (R² and variance score).","Not stated explicitly in the available text (a conclusion is missing); given the breadth of the frequency band and the THz range, practical fabrication and measurement in this range may be difficult.",old/163 - Machine learning technique based highly efficient slotted 4-port MIMO antenna using decoupling structure for sub-THz and THz 6G band applications.pdf
210,Alquaydheb et al.,2024,"Modeling, Characterization, and Machine Learning Algorithm for Rectangular Choke Horn Antennas",F1,Antennas and antenna arrays,1,Neural networks and deep learning,Gradient boosting (current prediction) + neural network with Bayesian regularization (gain and HPBW prediction),False,"The authors propose a hybrid model (analytical + FEM) for computing the far-field radiation characteristics of a novel rectangular choke horn antenna, supplemented by ML algorithms (gradient boosting and a neural network) to predict current values and radiation parameters (gain, HPBW).",The gradient boosting algorithm accurately predicted current values on the choke and reduced the need for repeated simulations in ANSYS HFSS; the neural network with Bayesian regularization achieved high prediction accuracy for HPBW and gain across various choke spacings; measurement at 2.45 GHz confirmed good agreement of the main lobe across methods (specific numerical errors are not stated in the extracted text).,"The authors report differences in back-lobe radiation, primarily caused by reflections on the outer bottom side of the waveguide and by the effect of residual currents at smaller choke depths.","old/221 - Modeling, Characterization, and Machine Learning Algorithm for Rectangular Choke Horn Antennas.pdf"
84,Borgaonkar et al.,2024,Satellite Antenna Design Using AI Based Approach,F1,Antennas and antenna arrays,1,Neural networks and deep learning,ANN (feedforward) for resonant frequency/bandwidth prediction,False,An artificial neural network trained on the geometric parameters of a microstrip patch antenna can quickly and accurately predict the resonant frequency and bandwidth of satellite antennas without the need for repeated simulations.,"The ANN (converging after 700 epochs) predicts resonant frequency and bandwidth in close agreement with both simulation (CST) and experiment, e.g., for one sample, 5.04 GHz (simulation) vs. 5.06 GHz (ANN) vs. 5.02 GHz (measurement); similar agreement was confirmed on four additional tested prototypes (L/S/C bands).","Not stated explicitly as a limitation: the authors mention that the work is so far only a software implementation (MATLAB), with hardware realization planned for later phases of the project.",old/109 - Satellite Antenna Design Using AI Based Approach.pdf
79,Gadhafi et al.,2024,Exploring the Potential of Deep-Learning and Machine-Learning in Dual-Band Antenna Design,F1,Antennas and antenna arrays,1,Neural networks and deep learning,"SVM (Fine Gaussian) + ResNet (regression models, comparison)",False,"Combining classical machine learning (SVM) and deep learning (ResNet) enables efficient treatment of dual-band IoT antenna parameter design as a regression task, without the need for exhaustive manual tuning.","On a dataset of 1000 samples (700 training/300 test), Fine Gaussian SVM and Residual Neural Network (ResNet, various activation functions) models were successfully trained and compared for predicting the parameters of a dual-band T-monopole antenna; specific numerical accuracy metrics are not given in either the abstract or the conclusion.",The authors recommend expanding the dataset with a wider range of designs and using transfer learning to reduce computational cost; the current scope of data and models is thus limited.,old/104 - Exploring the Potential of Deep-Learning and Machine-Learning in Dual-Band Antenna Design.pdf
221,Ha et al.,2024,An Artificial-Intelligence-Assisted Optimization of Imperceptible Multimode Rectenna,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,PSADEA - parallel surrogate-model-assisted hybrid differential evolution with GP regression for global antenna optimization,False,"The authors propose and experimentally verify a compact, optically transparent multiband/multi-range rectenna for wireless power transfer (near-field 13.56 MHz and far-field 980 MHz/2.45 GHz), whose geometry with 20 design parameters is optimized using AI-driven global optimization (PSADEA).","Maximum RF-DC conversion efficiency reached 55.45% at 980 MHz and 51.44% at 2.45 GHz (at a power density of 136.46 mW/m²), and even at a low density of 4.41 mW/m² remained at 21.81%/20.49%; inductive WPT at 13.56 MHz achieved a maximum system efficiency of 62.8% and a transferred power of 36.8 mW.",Not stated explicitly: the authors do not mention limitations; the design is tied to a specific IFA geometry with 20 parameters and a specific type of transparent conductive film (TCF); general applicability to other materials/frequencies was not verified.,old/231 - An Artificial-Intelligence-Assisted Optimization of Imperceptible Multimode Rectenna.pdf
266,Huang et al.,2024,Antenna modeling based on meta-heuristic intelligent algorithms and neural networks,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,"BPNN surrogate model optimized by metaheuristics (IBOAS, SOA, ARO, PSO, GA)",False,"The authors compare and improve several metaheuristic algorithms (seagull optimization, butterfly optimization algorithm with reverse learning, artificial rabbit optimization, PSO, GA) for optimizing the weights and biases of a back-propagation neural network (BPNN) modeling the behavior of ultra-wideband antennas.","The improved butterfly optimization algorithm with reverse learning (IBOAS-BPNN) achieves the highest prediction accuracy of 99.69%, followed by the seagull algorithm (99.51%) and the artificial rabbit algorithm (99.49%), compared to the classical PSO-BPNN (83.1%) and GA-BPNN (99.43%); IBOAS-BPNN also reduces the network's prediction time by more than 70%.","Not stated explicitly: in the conclusion, the authors merely state that a comprehensive, integrated system for this type of modeling does not yet exist and that optimization algorithms need further improvement; specific limits of their own method are not given.",old/272 - Antenna modeling based on meta-heuristic intelligent algorithms and neural networks.pdf
380,Hussein et al.,2024,A Novel MIMO Antenna Integrated With a Solar Panel and Employing AI-Equalization for 5G Wireless Communication Networks,F1,Antennas and antenna arrays,1,Neural networks and deep learning,AI equalizer (neural network) for compensating power fluctuations in a MIMO channel,False,"This work proposes a MIMO antenna array with metasurface isolation structures and PIN diodes providing reconfigurable directivity, integrated with a solar panel for sustainable 5G base stations, complemented by an AI equalizer to suppress channel capacity degradation.","Not stated explicitly: the available excerpt (abstract and introduction) only qualitatively states that the AI equalizer mitigates channel capacity degradation caused by signal power fluctuations, without specific numerical improvement values.",Not stated explicitly: the available text does not contain a concluding discussion of limitations (it contains only author biographies); practical limitations of integrating a solar panel into the antenna array are not discussed in the excerpt.,old/98 - A Novel MIMO Antenna Integrated With a Solar Panel and Employing AI-Equalization for 5G Wireless Communication Networks.pdf
381,Khan et al.,2024,Antenna systems for IoT applications: a review,F1,Antennas and antenna arrays,1,Neural networks and deep learning,Review of antenna types for IoT with a general outlook on AI/ML design optimization,True,"This review article maps antenna systems (dipole, patch, spiral, metamaterial) for IoT applications, their design challenges (frequency, bandwidth, size, materials, energy efficiency), and the role of AI/ML in real-time design optimization.",Not stated explicitly: this is a review study without the authors' own experimental results; it only synthesizes findings from the cited literature.,"The authors themselves state that research on interference management, power consumption, and dynamic antenna adaptation for IoT is insufficient in the current literature.",old/99 - Antenna systems for IoT applications a review.pdf
256,Koziel et al.,2024,On Accelerated Metaheuristic-Based Electromagnetic-Driven Design Optimization of Antenna Structures Using Response Features,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,Particle swarm optimization (PSO) with reformulation of the objective function using response features,False,The authors investigate the benefit of reformulating the antenna design problem using response features instead of the conventional minimax formulation for metaheuristic (PSO) global optimization of multiband antennas.,"The feature-based formulation smooths the objective function landscape and, under a limited computational budget, achieves better average objective function values as well as higher repeatability of results for all three tested antenna structures, with an overall average speedup exceeding 30% compared to the conventional formulation.","The authors report a twofold limitation: the method does not include a surrogate model, so costs can still be impractical for expensive EM simulations, and the approach requires easily identifiable characteristic points in the antenna response, which limits its applicability.",old/263 - On Accelerated Metaheuristic-Based Electromagnetic-Driven Design Optimization of Antenna Structures Using Response Features.pdf
261,Koziel et al.,2024,Efficient Simulation-Based Global Antenna Optimization Using Characteristic Point Method and Nature-Inspired Metaheuristics,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,EGO (efficient global optimization) - PSO + kriging/response-feature surrogate,False,"The authors propose an efficient global optimization (EGO) method for multiband antennas, in which a surrogate model is repeatedly built and refined using response features, with a particle swarm optimizer (PSO) serving as the search engine.","According to the abstract, comprehensive benchmarking on three antenna structures demonstrates the superiority of the proposed approach over both surrogate-assisted methods and direct nature-inspired optimization; specific numerical values of the computational cost are not given in the available text excerpt.","Not stated explicitly in the available excerpt (abstract, introduction, references); given the principle based on characteristic points, a limitation similar to the authors' related work can be expected - the need for easily identifiable resonance points in the antenna response.",old/268 - Efficient Simulation-Based Global Antenna Optimization Using Characteristic Point Method and Nature-Inspired Metaheuristics.pdf
264,Koziel et al.,2024,Fast EM-driven nature-inspired optimization of antenna input characteristics using response features and variable-resolution simulation models,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,PSO + co-kriging surrogate with response features and multi-fidelity (variable-resolution) EM simulations,False,"The authors propose a global optimization method for multiband antennas, in which a surrogate is repeatedly built using response features and refined into a co-kriging model combining low- and high-resolution simulations, with PSO as the search engine.",The average optimization cost corresponds to only about 90 high-fidelity EM simulations of the antenna with high repeatability of the solution; using variable-resolution simulations yields up to a 70% speedup compared to a single-fidelity algorithm.,"Not stated explicitly: in the available text (abstract/introduction/references), the authors do not state specific limitations; a dependence on the identifiability of characteristic points in the response can be expected, similar to related work.",old/270 - Fast EM-driven nature-inspired optimization of antenna input characteristics using response features and variable-resolution simulation models.pdf
341,Mair et al.,2024,Evolutionary Optimisation of Pixelated IFA Inspired Antennas,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,Genetic algorithm for topological optimization of a pixelated antenna,False,The study introduces a methodology for IFA-inspired pixelated antennas (with Einstein Hat-shaped tiles) optimized by a genetic algorithm for compact IoT applications.,"Compared to a traditional IFA design, the optimized antenna exhibits higher gain and efficiency and a lower reflection coefficient; functionality was verified on a fabricated prototype by measuring scattering parameters and gain in an anechoic chamber (specific numerical values are not given in the available excerpt).","The authors explicitly state that the effect of tile size and the position of the feed/short-circuit point will be examined only in a follow-up parametric study, and that integration of an IoT sensor node is planned for the future, indicating that these aspects were not covered in this work.",old/62 - Evolutionary optimisation of pixelated IFA inspired antennas.pdf
375,Mittra et al.,2024,A Novel AI-Based Antenna Design Software,F1,Antennas and antenna arrays,1,Neural networks and deep learning,Neural network for antenna parameter optimization supplemented by an expert chat interface,False,"The authors present the concept of the ANTENNA GURU software, which combines conventional AI (neural networks for parameter optimization) with an interactive chat with a human expert, in order to address the shortcomings of common AI tools for antenna design.",Not stated explicitly: this is a conceptual description of the software without quantitative benchmarks; only a general claim of substantial time savings compared to the conventional 'cut-and-try' approach is given.,"Not stated explicitly: the authors only describe the shortcomings of conventional AI (inability to critically evaluate publications, lack of guidance for fixing an unsuccessful design), without quantitatively verifying to what extent GURU itself overcomes them.",old/93 - A Novel AI-Based Antenna Design Software.pdf
330,Palanisamy et al.,2024,Multi-objective hybrid split-ring resonator and electromagnetic bandgap structure-based fractal antennas using hybrid metaheuristic framework for wireless applications,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,Elephant Clan Updated Grey Wolf Algorithm (ECU-GWA) hybrid metaheuristic + genetic algorithm,False,"This work proposes a frequency-reconfigurable fractal antenna (18/28/38 GHz) optimized with the hybrid metaheuristic ECU-GWA algorithm, and a complementary ECSRR-EBG MIMO antenna optimized with a genetic algorithm.","The achieved -10 dB bandwidths are 0.8/1.94/7.92 GHz at 18.5/28.1/38.1 GHz with gains of 4.41/6.33/7.70 dBi and S11 of -60.81/-56.31/-14.19 dB; the ECSRR metasurface increases the gain by 5.2 dBi at 5.9 GHz, and the MIMO antenna achieves an ECC of 0.00081 at 5.57 GHz.",Not stated explicitly: the available text does not contain a discussion/conclusion section with limitations; the computational requirements of the hybrid ECU-GWA algorithm and manufacturing tolerances are presumably not discussed.,old/52 - Multi-objective hybrid split-ring resonator and electromagnetic bandgap structure-based fractal antennas using hybrid metaheuristic framework for wireless applications.pdf
148,Papathanasopoulos et al.,2024,Optimization Assisted by Neural Network-Based Machine Learning in Electromagnetic Applications,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,"ONN (Optimization assisted by Neural Network) – NN surrogate-based optimization, compared with PSO, GA, BO",False,"The authors present optimization assisted by a neural network (ONN) as a surrogate-model-based optimization approach for electromagnetics, and demonstrate for the first time its applicability to antenna design (Yagi-Uda and a dual-band slotted patch antenna).","ONN requires fewer objective-function evaluations than PSO, GA, and Bayesian optimization (BO) while achieving comparable or better solution quality on both benchmark test functions and antenna optimization; the optimized slotted antenna was fabricated and measured to validate the method.",Not stated explicitly in the available text (a conclusion is missing); the method is demonstrated on only a limited number of benchmark functions and two antenna examples.,old/167 - Optimization Assisted by Neural Network-Based Machine Learning in Electromagnetic Applications.pdf
145,Rahman et al.,2024,A unique SWB multi-slotted four-port highly isolated MIMO antenna loaded with metasurface for IOT applications-based machine learning verification,F1,Antennas and antenna arrays,2,Classical machine learning,Linear regression and other regression ML models applied to an RLC equivalent circuit,False,"The authors propose a four-element SWB MIMO antenna system loaded with an epsilon-negative metasurface structure for IoT/V2X applications, and validate gain and efficiency using four regression ML methods based on an RLC equivalent circuit.","Use of the metasurface widened the band from 2-19 GHz to 1.9-20 GHz, isolation increased from 20 dB to 25.5 dB, gain from 4.5 dBi to 8 dBi, and efficiency from 77% to 89%; the linear regression ML model achieved 99% accuracy in validating gain and efficiency.","Not stated explicitly in the available text (a detailed conclusion is missing); the ML validation is based on a simplified RLC equivalent model, whose accuracy may be limited for more complex structures.",old/164 - A unique SWB multi-slotted four-port highly isolated MIMO antenna loaded with metasurface for IOT applications-based machine learning verification.pdf
132,Rai et al.,2024,Machine Learning Enabled Al2O3 Ceramic Based Dual Band Frequency Reconfigurable Dielectric Antenna for Wireless Application,F1,Antennas and antenna arrays,2,Classical machine learning,"KNN, ANN, Decision Tree, XGBoost, Random Forest (best: KNN)",False,"The authors propose a ceramic (Al2O3) dual-band frequency-reconfigurable dielectric resonator antenna with two PIN diodes, and optimize/predict its performance using several ML algorithms.","The antenna achieves a total spectrum (TS) of 71.49% and a maximum tuning range (TR) of 44.44%, with a gain of 3.25 dBi; the KNN algorithm achieved an accuracy (R²) above 99% for S11 reflection coefficient prediction across all configurations, which was the best among the compared algorithms (KNN, ANN, DT, XGBoost, RF).","Not stated explicitly: the available excerpt does not contain a separate limitations section; the context suggests that this is a relatively complex hybrid four-layer structure, which may limit ease of manufacturing.",old/152 - Machine Learning Enabled Al2O3Ceramic Based Dual Band Frequency Reconfigurable Dielectric Antenna for Wireless Application.pdf
374,Wang et al.,2024,"AI-Empowered Fluid Antenna Systems: Opportunities, Challenges, and Future Directions",F1,Antennas and antenna arrays,4,Reinforcement learning,MAE (autoencoder) for channel extrapolation + A2C deep reinforcement learning for port selection + neural network for precoding,False,"The article presents a vision for using AI (deep learning, reinforcement learning) to solve the NP-hard optimization of antenna (port) positions and precoding in fluid antenna systems (FAS/MIMO-FAS), demonstrated on an ISAC case study.","In a multiuser MISO-FAS simulation for ISAC, observing only 20% of the ports (thanks to spatial correlation and MAE channel extrapolation) is sufficient to achieve performance comparable to observing all ports; the proposed approach shows a significant increase in sum data rate compared to a fixed antenna system.","The authors note that the instability of reinforcement learning during training affects model convergence, and that the e-greedy strategy requires manual tuning of the e parameter at different stages of training.","old/92 - AI-Empowered Fluid Antenna Systems Opportunities, Challenges, and Future Directions.pdf"
125,Yahya et al.,2024,Machine Learning-Optimized Compact Frequency Reconfigurable Antenna With RSSI Enhancement for Long-Range Applications,F1,Antennas and antenna arrays,2,Classical machine learning,"Supervised regression ML models, best: Gaussian process regression (GPR)",False,"The authors propose a compact dual-band frequency-reconfigurable monopole antenna for LoRa applications (868/915 MHz), switched by a single PIN diode, whose resonant frequency is predicted using ML regression models.","Gaussian process regression achieved the best results with R² of 92.87% and a variance score of 93.77%; the antenna achieves a maximum gain of 2 dBi at 915 MHz and an efficiency of 70%, with the RSSI of the proposed antenna outperforming a commercial monopole antenna in a field test by an average of −12 dBm up to a distance of 300 m.","Not stated explicitly: the available excerpt does not contain a concluding discussion of limitations; a likely limitation is the lower prediction accuracy of GPR (approx. 93%) compared to other works with accuracy approaching 99%, probably due to a smaller dataset or more demanding geometry.",old/146 - Machine Learning-Optimized Compact Frequency Reconfigurable Antenna With RSSI Enhancement for Long-Range Applications.pdf
38,Adama et al.,2025,Introducing Machine Learning in Design and Analysis of Antenna for Wireless Systems,F1,Antennas and antenna arrays,2,Classical machine learning,"Gaussian Process Regression (GPR) surrogate model; DNN, CNN, RL also discussed generally",True,"The article provides a review of machine learning applications (DNN, CNN, RL) in antenna design, modeling, and optimization, and supplements it with the authors' own experimental example of a surrogate model based on Gaussian Process Regression (GPR) for S11 prediction.","The GPR surrogate model reproduces the main resonance of the HFSS simulation (7.6825 GHz vs. ~7.68 GHz) with a shallower notch depth (~-19 to -20 dB vs. -35.62 dB in HFSS), but with significantly lower computation time after training compared to full-wave EM simulation.","The authors state that smoothing of the surrogate model somewhat reduces the accuracy of the predicted return-loss depth (S11), although the general trend and resonant frequency are preserved.",Introducing_Machine_Learning_in_Design_and_Analysis_of_Antenna_for_Wireless_Systems.pdf
82,Ahmadzadeh et al.,2025,Enhanced Over-the-Air Federated Learning Using AI-based Fluid Antenna System,F1,Antennas and antenna arrays,4,Reinforcement learning,RDPG (deep reinforcement learning) for fluid antenna position and beamforming,False,Integrating fluid antennas (FA) into the access point together with the proposed RDPG deep reinforcement learning algorithm improves the convergence and performance of an over-the-air federated learning system (OTA-FL) compared to fixed-position antennas and conventional DRL algorithms.,"Simulations show that the FA system consistently outperforms both FPA and standard DRL algorithms (SAC, DDPG) in terms of average reward/OTA-FL convergence; performance increases with the number of antennas and decreases with an increasing number of users; specific numerical accuracy/speedup values are not given in the text (results are graphical).",Not stated explicitly: this is a purely simulation-based study; the authors do not mention specific limitations of the method in the conclusion.,old/107 - Enhanced Over-the-Air Federated Learning Using AI-based Fluid Antenna System.pdf
33,Artyushkin et al.,2025,Emerging Computational Paradigms for Antenna Design in the Age of Surrogates and AI,F1,Antennas and antenna arrays,1,Neural networks and deep learning,"Review: surrogate models (Kriging, neural networks, SVR), generative design (GAN/VAE/RL), evolutionary algorithms (GA/PSO)",True,"This review/bibliometric article analyzes the shift of computational paradigms in antenna design from population-based heuristics (GA, PSO) through surrogate modeling (Kriging, neural networks) to generative design (GAN, VAE, RL), including the geographic distribution of research.",This is a systematic literature analysis without its own experimental result; it identifies a trend of transition from evolutionary algorithms to surrogate and generative AI methods and regional differences in their representation.,"Not stated explicitly: in the available text excerpt, no specific limitations of the review are given.",Emerging_Computational_Paradigms_for_Antenna_Design_in_the_Age_of_Surrogates_and_AI.pdf
39,Chen et al.,2025,Inverse Design of Microstrip Antennas Based on Deep Learning,F1,Antennas and antenna arrays,1,Neural networks and deep learning,CNN surrogate model + binary particle swarm optimization (BPSO) for inverse design of a pixelated antenna,False,"The authors propose an inverse design framework combining pixelated modeling of a microstrip antenna (10x10 binary matrix), a convolutional neural network (CNN) as a surrogate model for S-parameter prediction, and binary particle swarm optimization (BPSO) for automated generation of the antenna structure from required parameters.","A CNN trained on 150,000 simulations predicts S11 with RMSE 0.35, MAE 0.28, and R²=0.94; the BPSO-CNN framework converges faster and achieves lower S11 error at target frequencies than GA and simulated annealing; the CNN surrogate speeds up optimization of 500 iterations from 12.5 h (MATLAB-CST) to 30 min (25x speedup).","Not stated explicitly: for simplification of the initial framework, the authors assume an ideal lossless dielectric substrate, which is a simplification compared to reality.",Inverse Design of Microstrip Antennas Based on Deep Learning.pdf
0,Gajbhiye et al.,2025,A comprehensive review of AI and machine learning techniques in antenna design optimization and measurement,F1,Antennas and antenna arrays,1,Neural networks and deep learning,"Review of ANN/DNN, decision trees, SVM/SVR, GPR, and metaheuristics (GA, PSO) for antenna design and measurement",True,"This review article argues that integrating AI/ML techniques (neural networks, decision trees, genetic algorithms, PSO) into antenna design, optimization, and measurement can significantly speed up and improve the accuracy of the process compared to traditional computational EM tools.","This is a qualitative review without a single unified quantitative result; it summarizes literature showing that AI/ML approaches achieve faster and more accurate antenna design solutions than conventional CEM tools (HFSS, CST, FEKO, etc.).",The authors state that the field is still at an early stage and that further research and development are needed to fully exploit the potential of AI/ML in antenna design.,A comprehensive review of AI and machine learning techniques in antenna design optimization and measurement.pdf
10,Ghewari et al.,2025,Advancements in Microstrip Patch Antenna Design Using Nature-Inspired Metaheuristic Optimization Algorithms: A Systematic Review,F1,Antennas and antenna arrays,5,Metaheuristics and Bayesian optimization,"Metaheuristics: GA, PSO, DE, ABC, BFO, ACO, CS, FA, GWO, BA, IWO",True,"This systematic review examines the application of nature-inspired metaheuristic optimization algorithms (GA, PSO, DE, ABC, BFO, ACO, CS, FA, GWO, BA, IWO) to the design of microstrip patch antennas (MPA).","This is a qualitative review summarizing the impact of individual algorithms on bandwidth, return loss, gain, radiation efficiency, and miniaturization of MPAs, without a unified quantitative comparison across studies.",Not stated explicitly: the review does not uniformly quantify the performance of individual methods and does not compare them on a common benchmark.,Advancements in Microstrip Patch Antenna Design Using Nature-Inspired Metaheuristic Optimization Algorithms A Systematic Review.pdf
76,Guo et al.,2025,Antenna Technologies for 6G – Advances and Challenges,F1,Antennas and antenna arrays,1,Neural networks and deep learning,"Review of BPNN+GA, inverse ANN, RBFNN+SADE, and GRNN for antenna design/synthesis",True,"Artificial intelligence represents one of the key technologies supporting advanced antenna design for 6G, alongside hybrid arrays, reconfigurable surfaces, and THz antennas, particularly for surrogate modeling and inverse synthesis.","A review article with no original experimental results; in its AI section, it summarizes, e.g., a BPNN surrogate + multi-objective GA, an inverse ANN model for multi-objective antenna design, an RBFNN tuned by differential evolution (SADE) for phase nulling, and a GRNN for synthesizing excitation amplitudes of conformal arrays.",Not stated explicitly: this is a conceptual review of 6G antenna technologies; specific limitations of individual AI methods are not discussed.,old/101 - Antenna Technologies for 6G – Advances and Challenges.pdf
5,Huang et al.,2025,A Planar Array Synthesis Method Based on Deep Learning and Radiation Pattern Superposition Method,F1,Antennas and antenna arrays,1,Neural networks and deep learning,Dual-branch CNN with physics-informed hybrid training,False,The authors propose a dual-branch convolutional neural network (CNN) with hybrid training combining data-driven and physics-informed approximation for real-time synthesis of multi-beam radiation patterns of planar antenna arrays.,The method achieves sidelobe suppression of 20-40 dB for two-beam steering over an off-axis angle range of 10°-20°; synthesis takes about 0.05 s (dataset generation ~0.7 ms per sample) and outperforms stochastic optimization algorithms and classical DNNs in efficiency and pattern regularity.,Not stated explicitly: the text does not state specific limits of the method beyond the tested angle range (10°-20°) and the two-beam scenario.,A_Planar_Array_Synthesis_Method_Based_on_Deep_Learning_and_Radiation_Pattern_Superposition_Method.pdf
143,Huang et al.,2025,An Effective Antenna Shape Optimization Framework Employing Machine-Learning-Based Approach,F1,Antennas and antenna arrays,3,Generative and inverse models,Self-supervised-learning autoencoder (AE) + latent-space optimization,False,"The authors propose an antenna shape optimization framework based on a self-supervised-learning autoencoder (AE), which extracts latent features of antenna shapes and enables optimization with strong extrapolation capability at low training cost.","The framework was validated on a metasurface antenna and a transmitarray antenna; the fabricated transmitarray achieved a measured gain of 27.75 dBi (29 dBi in simulation) with an aperture efficiency of 42% and full 360° phase coverage using a single basic element, with processing completed in 13.9 h compared to tens to hundreds of hours for reference GAN/VAE/MAE methods.",Not stated explicitly: the final structure requires manual selection by the designer with regard to simplicity and low manufacturing complexity; the framework was validated on only two antenna types (metasurface and transmitarray).,old/162 - An Effective Antenna Shape Optimization Framework Employing Machine-Learning-Based Approach.pdf
